accession	description
"GCA_017622845.1"	"ASM1762284v1 assembly for Lachnospiraceae bacterium"
"GCA_017622925.1"	"ASM1762292v1 assembly for Ruminococcus sp."
"GCA_017622935.1"	"ASM1762293v1 assembly for Prevotella sp."
"GCA_017624305.1"	"ASM1762430v1 assembly for Clostridia bacterium"
"GCA_017624355.1"	"ASM1762435v1 assembly for Clostridia bacterium"
"GCA_017624395.1"	"ASM1762439v1 assembly for Clostridia bacterium"
"GCA_017624415.1"	"ASM1762441v1 assembly for Candidatus Homeothermus sp."
"GCA_017624435.1"	"ASM1762443v1 assembly for Clostridia bacterium"
"GCA_017624455.1"	"ASM1762445v1 assembly for Peptococcaceae bacterium"
"GCA_017629795.1"	"ASM1762979v1 assembly for Clostridia bacterium"
"GCA_017629815.1"	"ASM1762981v1 assembly for Clostridia bacterium"
"GCA_017629835.1"	"ASM1762983v1 assembly for Muribaculaceae bacterium"
"GCA_017629855.1"	"ASM1762985v1 assembly for Clostridia bacterium"
"GCA_017629875.1"	"ASM1762987v1 assembly for Clostridia bacterium"
"GCA_017629925.1"	"ASM1762992v1 assembly for Clostridia bacterium"
"GCA_017629955.1"	"ASM1762995v1 assembly for Bacteroidaceae bacterium"
"GCA_017629975.1"	"ASM1762997v1 assembly for Lentisphaeria bacterium"
"GCA_017629985.1"	"ASM1762998v1 assembly for Alistipes sp."
"GCA_017630005.1"	"ASM1763000v1 assembly for Bacteroidaceae bacterium"
"GCA_017630035.1"	"ASM1763003v1 assembly for Bacteroides sp."
"GCA_017630055.1"	"ASM1763005v1 assembly for Lentisphaeria bacterium"
"GCA_017630065.1"	"ASM1763006v1 assembly for Paludibacteraceae bacterium"
"GCA_017630155.1"	"ASM1763015v1 assembly for Bacteroidales bacterium"
"GCA_017630175.1"	"ASM1763017v1 assembly for Paludibacteraceae bacterium"
"GCA_017630195.1"	"ASM1763019v1 assembly for Bacteroidales bacterium"
"GCA_017630215.1"	"ASM1763021v1 assembly for Bacteroidales bacterium"
"GCA_017630235.1"	"ASM1763023v1 assembly for Bacteroidaceae bacterium"
"GCA_017630275.1"	"ASM1763027v1 assembly for Bacteroidales bacterium"
"GCA_017630295.1"	"ASM1763029v1 assembly for Lentisphaeria bacterium"
"GCA_017630315.1"	"ASM1763031v1 assembly for Alistipes sp."
"GCA_017936765.1"	"ASM1793676v1 assembly for Clostridia bacterium"
"GCA_017936785.1"	"ASM1793678v1 assembly for Lachnospiraceae bacterium"
"GCA_017936795.1"	"ASM1793679v1 assembly for Bacilli bacterium"
"GCA_017936815.1"	"ASM1793681v1 assembly for Clostridia bacterium"
"GCA_017936845.1"	"ASM1793684v1 assembly for Bacilli bacterium"
"GCA_017936865.1"	"ASM1793686v1 assembly for Bacilli bacterium"
"GCA_017936885.1"	"ASM1793688v1 assembly for Lachnospiraceae bacterium"
"GCA_017936925.1"	"ASM1793692v1 assembly for Clostridia bacterium"
"GCA_017936955.1"	"ASM1793695v1 assembly for Angelakisella sp."
"GCA_017936985.1"	"ASM1793698v1 assembly for Oscillospiraceae bacterium"
"GCA_017936995.1"	"ASM1793699v1 assembly for Paraprevotella sp."
"GCA_017937085.1"	"ASM1793708v1 assembly for Oscillospiraceae bacterium"
"GCA_017937095.1"	"ASM1793709v1 assembly for Roseburia sp."
"GCA_017937125.1"	"ASM1793712v1 assembly for Alistipes sp."
"GCA_017937165.1"	"ASM1793716v1 assembly for bacterium"
"GCA_017937185.1"	"ASM1793718v1 assembly for Alistipes sp."
"GCA_017937195.1"	"ASM1793719v1 assembly for Oscillospiraceae bacterium"
"GCA_017937205.1"	"ASM1793720v1 assembly for Oscillospiraceae bacterium"
"GCA_017937215.1"	"ASM1793721v1 assembly for Akkermansia sp."
"GCA_017937265.1"	"ASM1793726v1 assembly for Clostridia bacterium"
"GCA_017937285.1"	"ASM1793728v1 assembly for Clostridia bacterium"
"GCA_017937315.1"	"ASM1793731v1 assembly for Oscillospiraceae bacterium"
"GCA_017937365.1"	"ASM1793736v1 assembly for Prevotella sp."
"GCA_017937405.1"	"ASM1793740v1 assembly for Oscillibacter sp."
"GCA_017937465.1"	"ASM1793746v1 assembly for Alphaproteobacteria bacterium"
"GCA_017937505.1"	"ASM1793750v1 assembly for Clostridia bacterium"
"GCA_017937515.1"	"ASM1793751v1 assembly for Opitutales bacterium"
"GCA_017937535.1"	"ASM1793753v1 assembly for Alistipes sp."
"GCA_017937585.1"	"ASM1793758v1 assembly for Alistipes sp."
"GCA_017937625.1"	"ASM1793762v1 assembly for Muribaculaceae bacterium"
"GCA_017937635.1"	"ASM1793763v1 assembly for Muribaculaceae bacterium"
"GCA_017937655.1"	"ASM1793765v1 assembly for Clostridia bacterium"
"GCA_017937685.1"	"ASM1793768v1 assembly for Thermoguttaceae bacterium"
"GCA_017937705.1"	"ASM1793770v1 assembly for Alphaproteobacteria bacterium"
"GCA_017937725.1"	"ASM1793772v1 assembly for Rikenellaceae bacterium"
"GCA_017937735.1"	"ASM1793773v1 assembly for Alphaproteobacteria bacterium"
"GCA_017937765.1"	"ASM1793776v1 assembly for Alistipes sp."
"GCA_017937785.1"	"ASM1793778v1 assembly for Bacteroidaceae bacterium"
"GCA_017937805.1"	"ASM1793780v1 assembly for Alistipes sp."
"GCA_017937825.1"	"ASM1793782v1 assembly for Treponema sp."
"GCA_017937845.1"	"ASM1793784v1 assembly for Clostridia bacterium"
"GCA_017937865.1"	"ASM1793786v1 assembly for Clostridia bacterium"
"GCA_017937885.1"	"ASM1793788v1 assembly for Bacteroidales bacterium"
"GCA_017937905.1"	"ASM1793790v1 assembly for Lachnospiraceae bacterium"
"GCA_017937915.1"	"ASM1793791v1 assembly for Alistipes sp."
"GCA_017937925.1"	"ASM1793792v1 assembly for Paraprevotella sp."
"GCA_017937965.1"	"ASM1793796v1 assembly for Lachnospiraceae bacterium"
"GCA_017937985.1"	"ASM1793798v1 assembly for Clostridia bacterium"
"GCA_017938005.1"	"ASM1793800v1 assembly for Clostridia bacterium"
"GCA_017938025.1"	"ASM1793802v1 assembly for Paludibacteraceae bacterium"
"GCA_017938045.1"	"ASM1793804v1 assembly for Peptococcaceae bacterium"
"GCA_017938055.1"	"ASM1793805v1 assembly for Clostridia bacterium"
"GCA_017938065.1"	"ASM1793806v1 assembly for Prevotella sp."
"GCA_017938105.1"	"ASM1793810v1 assembly for Clostridia bacterium"
"GCA_017938125.1"	"ASM1793812v1 assembly for Muribaculaceae bacterium"
"GCA_017938215.1"	"ASM1793821v1 assembly for Eubacterium sp."
"GCA_017938245.1"	"ASM1793824v1 assembly for Bacteroidaceae bacterium"
"GCA_017938255.1"	"ASM1793825v1 assembly for Clostridia bacterium"
"GCA_017938285.1"	"ASM1793828v1 assembly for Lachnospiraceae bacterium"
"GCA_017938305.1"	"ASM1793830v1 assembly for Rikenellaceae bacterium"
"GCA_017938315.1"	"ASM1793831v1 assembly for Lachnospiraceae bacterium"
"GCA_017938345.1"	"ASM1793834v1 assembly for Clostridia bacterium"
"GCA_017938385.1"	"ASM1793838v1 assembly for Alistipes sp."
"GCA_017938405.1"	"ASM1793840v1 assembly for Lachnospiraceae bacterium"
"GCA_017938425.1"	"ASM1793842v1 assembly for Clostridia bacterium"
"GCA_017938435.1"	"ASM1793843v1 assembly for Alphaproteobacteria bacterium"
"GCA_017938525.1"	"ASM1793852v1 assembly for Peptococcaceae bacterium"
"GCA_017938545.1"	"ASM1793854v1 assembly for Anaerotignum sp."
"GCA_017938565.1"	"ASM1793856v1 assembly for Clostridia bacterium"
"GCA_017938585.1"	"ASM1793858v1 assembly for Oscillospiraceae bacterium"
"GCA_017938605.1"	"ASM1793860v1 assembly for Parabacteroides sp."
"GCA_017938625.1"	"ASM1793862v1 assembly for Oscillospiraceae bacterium"
"GCA_017938645.1"	"ASM1793864v1 assembly for Clostridia bacterium"
"GCA_017938685.1"	"ASM1793868v1 assembly for Oscillospiraceae bacterium"
"GCA_017938695.1"	"ASM1793869v1 assembly for Clostridia bacterium"
"GCA_017938725.1"	"ASM1793872v1 assembly for Bacilli bacterium"
"GCA_017938735.1"	"ASM1793873v1 assembly for Clostridia bacterium"
"GCA_017938765.1"	"ASM1793876v1 assembly for Alistipes sp."
"GCA_017938785.1"	"ASM1793878v1 assembly for Clostridia bacterium"
"GCA_017938795.1"	"ASM1793879v1 assembly for Clostridia bacterium"
"GCA_017938825.1"	"ASM1793882v1 assembly for Oscillospiraceae bacterium"
"GCA_017938835.1"	"ASM1793883v1 assembly for Oscillospiraceae bacterium"
"GCA_017938865.1"	"ASM1793886v1 assembly for Bacteroides sp."
"GCA_017938885.1"	"ASM1793888v1 assembly for Clostridia bacterium"
"GCA_017938905.1"	"ASM1793890v1 assembly for Bacteroidaceae bacterium"
"GCA_017938925.1"	"ASM1793892v1 assembly for Bacteroidales bacterium"
"GCA_017938945.1"	"ASM1793894v1 assembly for Oscillospiraceae bacterium"
"GCA_017938965.1"	"ASM1793896v1 assembly for Clostridia bacterium"
"GCA_017938985.1"	"ASM1793898v1 assembly for Clostridia bacterium"
"GCA_017939005.1"	"ASM1793900v1 assembly for Tyzzerella sp."
"GCA_017939025.1"	"ASM1793902v1 assembly for Oscillospiraceae bacterium"
"GCA_017939045.1"	"ASM1793904v1 assembly for Rikenellaceae bacterium"
"GCA_017939065.1"	"ASM1793906v1 assembly for Clostridia bacterium"
"GCA_017939085.1"	"ASM1793908v1 assembly for Oscillospiraceae bacterium"
"GCA_017939105.1"	"ASM1793910v1 assembly for Campylobacter sp."
"GCA_017939115.1"	"ASM1793911v1 assembly for Agathobacter sp."
"GCA_017939145.1"	"ASM1793914v1 assembly for Bacteroidaceae bacterium"
"GCA_017941215.1"	"ASM1794121v1 assembly for Pyramidobacter sp."
"GCA_017941235.1"	"ASM1794123v1 assembly for Bacilli bacterium"
"GCA_017941255.1"	"ASM1794125v1 assembly for Prevotella sp."
"GCA_017941265.1"	"ASM1794126v1 assembly for Chryseobacterium sp."
"GCA_017941305.1"	"ASM1794130v1 assembly for Prevotella sp."
"GCA_017941315.1"	"ASM1794131v1 assembly for bacterium"
"GCA_017941345.1"	"ASM1794134v1 assembly for Prevotella sp."
"GCA_017941375.1"	"ASM1794137v1 assembly for Pyramidobacter sp."
"GCA_017941505.1"	"ASM1794150v1 assembly for Faecalicoccus sp."
"GCA_017941525.1"	"ASM1794152v1 assembly for Lachnospiraceae bacterium"
"GCA_017941535.1"	"ASM1794153v1 assembly for Eggerthellaceae bacterium"
"GCA_017941565.1"	"ASM1794156v1 assembly for Lachnospiraceae bacterium"
"GCA_017941585.1"	"ASM1794158v1 assembly for Olsenella sp."
"GCA_017941605.1"	"ASM1794160v1 assembly for Lachnospiraceae bacterium"
"GCA_017941625.1"	"ASM1794162v1 assembly for Lachnospiraceae bacterium"
"GCA_017941635.1"	"ASM1794163v1 assembly for Cellulosilyticum sp."
"GCA_017941665.1"	"ASM1794166v1 assembly for Lachnospiraceae bacterium"
"GCA_017941685.1"	"ASM1794168v1 assembly for Mogibacterium sp."
"GCA_017941705.1"	"ASM1794170v1 assembly for Atopobiaceae bacterium"
"GCA_017941725.1"	"ASM1794172v1 assembly for Mogibacterium sp."
"GCA_017941735.1"	"ASM1794173v1 assembly for Solobacterium sp."
"GCA_017941765.1"	"ASM1794176v1 assembly for Muribaculaceae bacterium"
"GCA_017941785.1"	"ASM1794178v1 assembly for Peptostreptococcaceae bacterium"
"GCA_017941795.1"	"ASM1794179v1 assembly for Turicibacter sp."
"GCA_017941815.1"	"ASM1794181v1 assembly for Blautia sp."
"GCA_017941885.1"	"ASM1794188v1 assembly for Lachnospiraceae bacterium"
"GCA_017941895.1"	"ASM1794189v1 assembly for Clostridium sp."
"GCA_017941925.1"	"ASM1794192v1 assembly for Niameybacter sp."
"GCA_017941945.1"	"ASM1794194v1 assembly for Peptostreptococcaceae bacterium"
"GCA_017941955.1"	"ASM1794195v1 assembly for Pseudomonas sp."
"GCA_017941985.1"	"ASM1794198v1 assembly for Bacilli bacterium"
"GCA_017942005.1"	"ASM1794200v1 assembly for Clostridia bacterium"
"GCA_017942145.1"	"ASM1794214v1 assembly for Christensenellaceae bacterium"
"GCA_017964465.1"	"ASM1796446v1 assembly for Bacteroidales bacterium"
"GCA_017964485.1"	"ASM1796448v1 assembly for Muribaculaceae bacterium"
"GCA_017964505.1"	"ASM1796450v1 assembly for Clostridia bacterium"
"GCA_017964525.1"	"ASM1796452v1 assembly for Bacteroidales bacterium"
"GCA_017964545.1"	"ASM1796454v1 assembly for Bacilli bacterium"
"GCA_017964605.1"	"ASM1796460v1 assembly for Treponema sp."
"GCA_017964625.1"	"ASM1796462v1 assembly for Bacteroidales bacterium"
"GCA_017964645.1"	"ASM1796464v1 assembly for Paludibacteraceae bacterium"
"GCA_017964655.1"	"ASM1796465v1 assembly for Bacteroidaceae bacterium"
"GCA_017964685.1"	"ASM1796468v1 assembly for Spirochaetales bacterium"
"GCA_017964705.1"	"ASM1796470v1 assembly for Alphaproteobacteria bacterium"
"GCA_017964725.1"	"ASM1796472v1 assembly for Methanobrevibacter sp."
"GCA_017964785.1"	"ASM1796478v1 assembly for Prevotella sp."
"GCA_017964805.1"	"ASM1796480v1 assembly for Prevotella sp."
"GCA_017964825.1"	"ASM1796482v1 assembly for Bacteroidales bacterium"
"GCA_017964845.1"	"ASM1796484v1 assembly for Bacteroidales bacterium"
"GCA_017964865.1"	"ASM1796486v1 assembly for Alphaproteobacteria bacterium"
"GCA_017964945.1"	"ASM1796494v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017964955.1"	"ASM1796495v1 assembly for Bacteroidales bacterium"
"GCA_017964985.1"	"ASM1796498v1 assembly for Clostridia bacterium"
"GCA_018109925.1"	"ASM1810992v1 assembly for Oscillospiraceae bacterium"
"GCA_017380315.1"	"ASM1738031v1 assembly for Clostridia bacterium"
"GCA_017380325.1"	"ASM1738032v1 assembly for Bacteroidales bacterium"
"GCA_017380355.1"	"ASM1738035v1 assembly for Ruminococcus sp."
"GCA_017380375.1"	"ASM1738037v1 assembly for Phascolarctobacterium sp."
"GCA_017380475.1"	"ASM1738047v1 assembly for Clostridia bacterium"
"GCA_017380495.1"	"ASM1738049v1 assembly for Alistipes sp."
"GCA_017380535.1"	"ASM1738053v1 assembly for Clostridia bacterium"
"GCA_017380555.1"	"ASM1738055v1 assembly for Tidjanibacter sp."
"GCA_017380595.1"	"ASM1738059v1 assembly for Clostridia bacterium"
"GCA_017380635.1"	"ASM1738063v1 assembly for Bacteroidales bacterium"
"GCA_017380675.1"	"ASM1738067v1 assembly for Selenomonadales bacterium"
"GCA_017380715.1"	"ASM1738071v1 assembly for Clostridia bacterium"
"GCA_017380775.1"	"ASM1738077v1 assembly for Bacteroidales bacterium"
"GCA_017380815.1"	"ASM1738081v1 assembly for Alistipes sp."
"GCA_017380855.1"	"ASM1738085v1 assembly for Clostridia bacterium"
"GCA_017380885.1"	"ASM1738088v1 assembly for Clostridia bacterium"
"GCA_017380925.1"	"ASM1738092v1 assembly for Treponema sp."
"GCA_017380955.1"	"ASM1738095v1 assembly for Alistipes sp."
"GCA_017380975.1"	"ASM1738097v1 assembly for Lachnospiraceae bacterium"
"GCA_017380995.1"	"ASM1738099v1 assembly for Oscillibacter sp."
"GCA_017381075.1"	"ASM1738107v1 assembly for Alistipes sp."
"GCA_017381095.1"	"ASM1738109v1 assembly for Alistipes sp."
"GCA_017381115.1"	"ASM1738111v1 assembly for Alistipes sp."
"GCA_017381155.1"	"ASM1738115v1 assembly for Alistipes sp."
"GCA_017381315.1"	"ASM1738131v1 assembly for Clostridia bacterium"
"GCA_017381335.1"	"ASM1738133v1 assembly for Clostridia bacterium"
"GCA_017381365.1"	"ASM1738136v1 assembly for Treponema sp."
"GCA_017381395.1"	"ASM1738139v1 assembly for Clostridia bacterium"
"GCA_017381415.1"	"ASM1738141v1 assembly for Clostridia bacterium"
"GCA_017382075.1"	"ASM1738207v1 assembly for Alistipes sp."
"GCA_017382115.1"	"ASM1738211v1 assembly for Selenomonadales bacterium"
"GCA_017382155.1"	"ASM1738215v1 assembly for Clostridia bacterium"
"GCA_017382175.1"	"ASM1738217v1 assembly for Selenomonadaceae bacterium"
"GCA_017382215.1"	"ASM1738221v1 assembly for Alistipes sp."
"GCA_017382235.1"	"ASM1738223v1 assembly for Bacteroidaceae bacterium"
"GCA_017382275.1"	"ASM1738227v1 assembly for Clostridia bacterium"
"GCA_017382415.1"	"ASM1738241v1 assembly for Clostridia bacterium"
"GCA_017382435.1"	"ASM1738243v1 assembly for Clostridia bacterium"
"GCA_017382455.1"	"ASM1738245v1 assembly for Bacteroidales bacterium"
"GCA_017382655.1"	"ASM1738265v1 assembly for Clostridia bacterium"
"GCA_017382675.1"	"ASM1738267v1 assembly for Bacillota bacterium"
"GCA_017382695.1"	"ASM1738269v1 assembly for Paludibacteraceae bacterium"
"GCA_017382705.1"	"ASM1738270v1 assembly for Kiritimatiellia bacterium"
"GCA_017382775.1"	"ASM1738277v1 assembly for Spirochaetaceae bacterium"
"GCA_017382795.1"	"ASM1738279v1 assembly for Clostridia bacterium"
"GCA_017382815.1"	"ASM1738281v1 assembly for Acetobacter sp."
"GCA_017382835.1"	"ASM1738283v1 assembly for Clostridia bacterium"
"GCA_017382855.1"	"ASM1738285v1 assembly for Bacteroidaceae bacterium"
"GCA_017398945.1"	"ASM1739894v1 assembly for Bacilli bacterium"
"GCA_017398965.1"	"ASM1739896v1 assembly for Clostridia bacterium"
"GCA_017399005.1"	"ASM1739900v1 assembly for Peptococcaceae bacterium"
"GCA_017399025.1"	"ASM1739902v1 assembly for Clostridia bacterium"
"GCA_017399035.1"	"ASM1739903v1 assembly for Clostridia bacterium"
"GCA_017399065.1"	"ASM1739906v1 assembly for Clostridia bacterium"
"GCA_017399085.1"	"ASM1739908v1 assembly for Clostridia bacterium"
"GCA_017399105.1"	"ASM1739910v1 assembly for Clostridia bacterium"
"GCA_017399125.1"	"ASM1739912v1 assembly for Clostridia bacterium"
"GCA_017399145.1"	"ASM1739914v1 assembly for Clostridia bacterium"
"GCA_017399165.1"	"ASM1739916v1 assembly for Akkermansia sp."
"GCA_017399175.1"	"ASM1739917v1 assembly for Clostridia bacterium"
"GCA_017399185.1"	"ASM1739918v1 assembly for Clostridia bacterium"
"GCA_017399225.1"	"ASM1739922v1 assembly for Clostridia bacterium"
"GCA_017399245.1"	"ASM1739924v1 assembly for Oscillospiraceae bacterium"
"GCA_017399265.1"	"ASM1739926v1 assembly for Clostridia bacterium"
"GCA_017399285.1"	"ASM1739928v1 assembly for Clostridia bacterium"
"GCA_017399305.1"	"ASM1739930v1 assembly for Clostridia bacterium"
"GCA_017399325.1"	"ASM1739932v1 assembly for Oscillospiraceae bacterium"
"GCA_017399345.1"	"ASM1739934v1 assembly for Oscillospiraceae bacterium"
"GCA_017399355.1"	"ASM1739935v1 assembly for Oscillospiraceae bacterium"
"GCA_017399385.1"	"ASM1739938v1 assembly for Bacteroidales bacterium"
"GCA_017399405.1"	"ASM1739940v1 assembly for Clostridia bacterium"
"GCA_017399425.1"	"ASM1739942v1 assembly for Alistipes sp."
"GCA_017399445.1"	"ASM1739944v1 assembly for Lachnospiraceae bacterium"
"GCA_017412765.1"	"ASM1741276v1 assembly for Oscillospiraceae bacterium"
"GCA_017412905.1"	"ASM1741290v1 assembly for Bacteroidales bacterium"
"GCA_017412935.1"	"ASM1741293v1 assembly for Methanomicrobium sp."
"GCA_017412965.1"	"ASM1741296v1 assembly for Prevotella sp."
"GCA_017413035.1"	"ASM1741303v1 assembly for Methanomethylophilus sp."
"GCA_017413055.1"	"ASM1741305v1 assembly for Oscillospiraceae bacterium"
"GCA_017413085.1"	"ASM1741308v1 assembly for Prevotella sp."
"GCA_017413125.1"	"ASM1741312v1 assembly for Alphaproteobacteria bacterium"
"GCA_017413145.1"	"ASM1741314v1 assembly for Kiritimatiellia bacterium"
"GCA_017413165.1"	"ASM1741316v1 assembly for Kiritimatiellia bacterium"
"GCA_017413205.1"	"ASM1741320v1 assembly for Lachnospiraceae bacterium"
"GCA_017413225.1"	"ASM1741322v1 assembly for Clostridia bacterium"
"GCA_017413375.1"	"ASM1741337v1 assembly for Treponema sp."
"GCA_017413405.1"	"ASM1741340v1 assembly for Bacteroidales bacterium"
"GCA_017414725.1"	"ASM1741472v1 assembly for Clostridia bacterium"
"GCA_017414765.1"	"ASM1741476v1 assembly for Clostridia bacterium"
"GCA_017414785.1"	"ASM1741478v1 assembly for Mailhella sp."
"GCA_017414795.1"	"ASM1741479v1 assembly for Bacteroidaceae bacterium"
"GCA_017414825.1"	"ASM1741482v1 assembly for Clostridia bacterium"
"GCA_017414865.1"	"ASM1741486v1 assembly for Lentisphaeria bacterium"
"GCA_017414885.1"	"ASM1741488v1 assembly for Clostridia bacterium"
"GCA_017415305.1"	"ASM1741530v1 assembly for Clostridia bacterium"
"GCA_017415315.1"	"ASM1741531v1 assembly for Clostridia bacterium"
"GCA_017415455.1"	"ASM1741545v1 assembly for Prevotella sp."
"GCA_017415485.1"	"ASM1741548v1 assembly for Clostridia bacterium"
"GCA_017415505.1"	"ASM1741550v1 assembly for Clostridia bacterium"
"GCA_017415515.1"	"ASM1741551v1 assembly for Clostridia bacterium"
"GCA_017415535.1"	"ASM1741553v1 assembly for Oscillospiraceae bacterium"
"GCA_017415555.1"	"ASM1741555v1 assembly for Akkermansia sp."
"GCA_017415585.1"	"ASM1741558v1 assembly for Clostridia bacterium"
"GCA_017415605.1"	"ASM1741560v1 assembly for Clostridia bacterium"
"GCA_017415615.1"	"ASM1741561v1 assembly for Clostridia bacterium"
"GCA_017415635.1"	"ASM1741563v1 assembly for Clostridia bacterium"
"GCA_017415665.1"	"ASM1741566v1 assembly for Bacillota bacterium"
"GCA_017415685.1"	"ASM1741568v1 assembly for Oscillospiraceae bacterium"
"GCA_017415745.1"	"ASM1741574v1 assembly for Bacteroidales bacterium"
"GCA_017415765.1"	"ASM1741576v1 assembly for Desulfovibrio sp."
"GCA_017415775.1"	"ASM1741577v1 assembly for Oscillospiraceae bacterium"
"GCA_017415805.1"	"ASM1741580v1 assembly for Clostridia bacterium"
"GCA_017415815.1"	"ASM1741581v1 assembly for Clostridia bacterium"
"GCA_017415845.1"	"ASM1741584v1 assembly for Oscillospiraceae bacterium"
"GCA_017415865.1"	"ASM1741586v1 assembly for Clostridia bacterium"
"GCA_017415875.1"	"ASM1741587v1 assembly for Oscillospiraceae bacterium"
"GCA_017418965.1"	"ASM1741896v1 assembly for Ruminococcus sp."
"GCA_017418975.1"	"ASM1741897v1 assembly for Sphingomonas sp."
